project;class;method;merge commit;Confluence Inter;OA Inter Spark;left right DFP-Inter;right left DFP-Inter;left right PDG-pa;right left PDG-pa;Time;LOI;result
antlr4;Python2Target;python2Keywords;69ff2669eec265e25721dbc27cb00f6c381d0b41;false;false;false;false;false;false;25.643;-;
antlr4;Python3Target;python3Keywords;69ff2669eec265e25721dbc27cb00f6c381d0b41;false;false;false;false;false;false;24.257;-;
druid;S3SegmentPusher;push;05168808c278c080c59c19e858d9471b316cd1f5;false;false;false;false;false;true;17.456;No;FALSE POSITIVE
netty;LengthFieldBasedFrameDecoder;decode;193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;false;false;false;false;false;true;22.25;Yes;TRUE POSITIVE
OpenTripPlanner;MultiShortestPathTree;dominates;4c506dce43775704919d084f0acfba86d251bf4a;false;false;false;false;true;false;23.242;Yes;TRUE POSITIVE
webbit;WebSocketClient;adjustPipelineToWebSocket;74d2d2b87704d003acacb34e4ca8fb5f897b938f;false;false;false;false;false;false;16.771;No;TRUE NEGATIVE
resty-gwt;DirectRestServiceInterfaceClassCreator;getMethodCallback;867b917c43c32acbdcac55767e7f04334006c866;false;false;false;false;false;true;17.503;Yes;TRUE POSITIVE
storm;KafkaSpout;open;ad2be678831b3b060229fd936e3908110162b7ac;false;false;false;false;false;false;17.534;No;TRUE NEGATIVE
storm;KafkaSpoutConfig;KafkaSpoutConfig;ad2be678831b3b060229fd936e3908110162b7ac;false;false;false;false;false;false;16.134;No;TRUE NEGATIVE
storm;KafkaSpoutConfig;toString;ad2be678831b3b060229fd936e3908110162b7ac;false;false;false;false;false;false;17.143;Yes;FALSE NEGATIVE
storm;KafkaSpout;emitTupleIfNotEmitted;bd1f5c54752f67b484a83c26667331234234d3a3;false;false;false;false;true;true;18.144;No;FALSE POSITIVE
swagger-maven-plugin;AbstractReader;hasValidAnnotations;e825a7fdc6ef688f1253b93d2cb236e710acfc56;false;false;false;false;false;false;18.4;-;
jsoup;HttpConnection;execute;a8b6982de98ff76ef254031d7152fff57f6bf941;false;false;false;false;false;false;39.616;Yes;FALSE NEGATIVE
jsoup;HttpConnection;createConnection;fee4762322f85a1109edd75ccb67f38cf5008c80;false;false;false;false;false;false;21.355;No;TRUE NEGATIVE
jsoup;HttpConnection;execute;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false;false;false;false;false;true;32.082;Yes;TRUE POSITIVE
jsoup;TextNode;outerHtmlHead;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false;false;true;true;false;true;22.306;Yes;TRUE POSITIVE
retrofit;RestAdapter;logAndReplaceResponse;2b6c719c6645f8e48dca6d0047c752069d321bc4;false;false;false;false;false;false;21.388;Yes;FALSE NEGATIVE
retrofit;RestAdapter;logAndReplaceRequest;2b6c719c6645f8e48dca6d0047c752069d321bc4;false;false;false;false;false;false;21.083;Yes;FALSE NEGATIVE
retrofit;RequestBuilder;build;71f622ce51031b152a0be6ad5facfb27a654bf5a;false;false;false;false;true;false;21.322;Yes;TRUE POSITIVE
activiti;DeploymentEntityManager;deleteDeployment;50d8e43eb5917c63abfbcdec1e68e510943f325a;false;false;false;false;false;true;41.511;Yes;TRUE POSITIVE
activiti;UserTaskActivityBehavior;execute;bf46684ba62f5883673ea8fb0a14aecfe0aedea2;true;false;true;true;false;true;50.281;Yes;TRUE POSITIVE
okhttp;GzipSource;consumeHeader;1151c9853ccc3c9c3211c613b9b845b925f8c6a6;true;false;false;false;false;true;34.218;No;FALSE POSITIVE
okhttp;OkHttpClient;copyWithDefaults;35166168529bd27281685e56a0a122eff44460e9;false;false;false;false;false;false;19.632;No;TRUE NEGATIVE
HikariCP;HikariConfig;validate;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;false;false;false;false;false;false;18.599;Yes;FALSE NEGATIVE
HikariCP;HikariPool;addConnection;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;false;false;true;false;true;true;19.404;Yes;TRUE POSITIVE
pushy;PushManager;handleConnectionFailure;58901c846e4f0874977c5aabbc34bcb4de3670e0;false;false;false;false;false;false;17.703;No;TRUE NEGATIVE
pushy;PushManager;handleConnectionClosure;58901c846e4f0874977c5aabbc34bcb4de3670e0;false;false;false;false;false;false;18.979;No;TRUE NEGATIVE
java-faker;Faker;Faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;false;false;false;false;false;false;20.385;No;TRUE NEGATIVE
swagger-core;OperationParser;getSchemaFromAnnotation;e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2;false;false;false;false;false;false;21.191;No;TRUE NEGATIVE
cucumber-jvm;JavaLanguage;load;4505c156b6267c1b760deec570ddbfe047b42aa9;false;false;true;false;true;false;20.052;No;FALSE POSITIVE
dropwizard;Bootstrap;Bootstrap;ddd15a681bf42360337844412cae4aba1556eb88;false;true;true;true;false;false;311.717;No;FALSE POSITIVE
jenkins;DefaultJnlpSlaveReceiver;handle;48b2b951dfb3438999ceda330093cac82b857ce6;true;true;false;false;false;true;54.311;Yes;TRUE POSITIVE
logback;TimeBasedFileNamingAndTriggeringPolicyBase;start;542843fd04a793fb9e0eea0c84d199e66d7c15af;true;false;false;true;false;true;21.646;Yes;TRUE POSITIVE
orientdb;Orient;startup;a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;false;false;false;false;false;false;43.594;No;TRUE NEGATIVE
SimianArmy;BasicJanitorMonkeyContext;getInstanceJanitor;345ad9513aafff397050d613fa87ad06ddffe99d;true;false;true;true;false;false;20.639;No;FALSE POSITIVE
SimianArmy;BasicSimianArmyContext;BasicSimianArmyContext;c39c19bc6b9231601f6bc7358e638a99adf37e0d;true;false;false;false;false;false;28.744;No;FALSE POSITIVE
alluxio;HdfsFileInputStream;HdfsFileInputStream;dafe76c90024a915224264b4862b33f40cb8478c;true;true;false;false;false;false;482.731;No;FALSE POSITIVE
voldemort;VoldemortClientShell;VoldemortClientShell;b30fdfebe30c9b6e37b9fbc3fec0ff74cd19f997;true;true;false;true;false;false;257.967;Yes;TRUE POSITIVE
voldemort;VoldemortConfig;VoldemortConfig;4cc1c145819030c8e2baffe4c92383de14b8d880;true;true;true;true;false;false;70.172;No;FALSE POSITIVE
libgdx;Lwjgl3Application;newWindow;da27e2dae56be0a159e82231e5c3a5b83b099063;false;false;false;false;false;false;22.0;No;TRUE NEGATIVE
libgdx;Lwjgl3ApplicationConfiguration;copy;da27e2dae56be0a159e82231e5c3a5b83b099063;false;false;false;false;false;false;17.167;No;TRUE NEGATIVE
RxJava;OperatorMulticast;connect;a40a4130edcdadc2340da5787ca30353018173f2;false;true;true;true;false;false;42.856;No;FALSE POSITIVE
